model_name,fold,run,kernel,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP,roc_auc
SVM,1,0,linear,True,False,100,0.8903225806451613,0.9324324324324323,0.8518518518518519,0.83,0,0.526509672377604,0,0.5159453302961275,14.0,12.0,5.0,69.0,0
SVM,2,0,linear,True,False,100,0.8407643312101911,0.9041095890410958,0.7857142857142857,0.7474747474747475,0,0.2599517087125262,0,0.2451967063129003,8.0,18.0,7.0,66.0,0
SVM,3,0,linear,True,False,100,0.8407643312101911,0.9041095890410958,0.7857142857142857,0.7474747474747475,0,0.2599517087125262,0,0.2451967063129003,8.0,18.0,7.0,66.0,0
SVM,4,0,linear,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
SVM,1,1,linear,True,False,100,0.8695652173913043,0.945945945945946,0.8045977011494253,0.79,0,0.3809802647409566,0,0.3486352357320099,9.0,17.0,4.0,70.0,0
SVM,2,1,linear,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
SVM,3,1,linear,True,False,100,0.8354430379746836,0.9041095890410958,0.7764705882352941,0.7373737373737373,0,0.2189143915240365,0,0.203589108910891,7.0,19.0,7.0,66.0,0
SVM,4,1,linear,True,False,100,0.8625,0.9452054794520548,0.7931034482758621,0.7777777777777778,0,0.3409909744613114,0,0.3059273422562141,8.0,18.0,4.0,69.0,0
SVM,1,0,rbf,True,False,100,0.8819875776397516,0.9594594594594594,0.8160919540229885,0.81,0,0.448770347435077,0,0.4106699751861042,10.0,16.0,3.0,71.0,0
SVM,2,0,rbf,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
SVM,3,0,rbf,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
SVM,4,0,rbf,True,False,100,0.8518518518518519,0.9452054794520548,0.7752808988764045,0.7575757575757576,0,0.2569823873952432,0,0.2194480946123521,6.0,20.0,4.0,69.0,0
SVM,1,1,rbf,True,False,100,0.8658536585365854,0.9594594594594594,0.7888888888888889,0.78,0,0.3343712185642056,0,0.2857142857142857,7.0,19.0,3.0,71.0,0
SVM,2,1,rbf,True,False,100,0.8414634146341463,0.9452054794520548,0.7582417582417582,0.7373737373737373,0,0.1599351991890693,0,0.127457627118644,4.0,22.0,4.0,69.0,0
SVM,3,1,rbf,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
SVM,4,1,rbf,True,False,100,0.8553459119496856,0.9315068493150684,0.7906976744186046,0.7676767676767676,0,0.3116641483978471,0,0.2850863422291994,8.0,18.0,5.0,68.0,0
SVM,1,0,poly,True,False,100,0.8930817610062893,0.9594594594594594,0.8352941176470589,0.83,0,0.5171629363668866,0,0.4879518072289157,12.0,14.0,3.0,71.0,0
SVM,2,0,poly,True,False,100,0.8375,0.9178082191780822,0.7701149425287356,0.7373737373737373,0,0.2003321974960204,0,0.1797323135755257,6.0,20.0,6.0,67.0,0
SVM,3,0,poly,True,False,100,0.8553459119496856,0.9315068493150684,0.7906976744186046,0.7676767676767676,0,0.3116641483978471,0,0.2850863422291994,8.0,18.0,5.0,68.0,0
SVM,4,0,poly,True,False,100,0.8641975308641975,0.958904109589041,0.7865168539325843,0.7777777777777778,0,0.3331538135992224,0,0.2844940867279895,7.0,19.0,3.0,70.0,0
SVM,1,1,poly,True,False,100,0.8536585365853658,0.945945945945946,0.7777777777777778,0.76,0,0.2583777597996134,0,0.2207792207792207,6.0,20.0,4.0,70.0,0
SVM,2,1,poly,True,False,100,0.8658536585365854,0.9726027397260274,0.7802197802197802,0.7777777777777778,0,0.3283775898243657,0,0.2616949152542372,6.0,20.0,2.0,71.0,0
SVM,3,1,poly,True,False,100,0.8571428571428571,0.9452054794520548,0.7840909090909091,0.7676767676767676,0,0.3002677063370529,0,0.2633451957295373,7.0,19.0,4.0,69.0,0
SVM,4,1,poly,True,False,100,0.85,0.9315068493150684,0.7816091954022989,0.7575757575757576,0,0.2706615859786659,0,0.2428298279158699,7.0,19.0,5.0,68.0,0
SVM,1,0,sigmoid,True,False,100,0.8846153846153846,0.9324324324324323,0.8414634146341463,0.82,0,0.4937164683024299,0,0.4803695150115473,13.0,13.0,5.0,69.0,0
SVM,2,0,sigmoid,True,False,100,0.8375,0.9178082191780822,0.7701149425287356,0.7373737373737373,0,0.2003321974960204,0,0.1797323135755257,6.0,20.0,6.0,67.0,0
SVM,3,0,sigmoid,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
SVM,4,0,sigmoid,True,False,100,0.8553459119496856,0.9315068493150684,0.7906976744186046,0.7676767676767676,0,0.3116641483978471,0,0.2850863422291994,8.0,18.0,5.0,68.0,0
SVM,1,1,sigmoid,True,False,100,0.8765432098765432,0.9594594594594594,0.8068181818181818,0.8,0,0.4125179331508452,0,0.3702770780856422,9.0,17.0,3.0,71.0,0
SVM,2,1,sigmoid,True,False,100,0.8518518518518519,0.9452054794520548,0.7752808988764045,0.7575757575757576,0,0.2569823873952432,0,0.2194480946123521,6.0,20.0,4.0,69.0,0
SVM,3,1,sigmoid,True,False,100,0.8427672955974843,0.9178082191780822,0.7790697674418605,0.7474747474747475,0,0.2437021424696822,0,0.2229199372056514,7.0,19.0,6.0,67.0,0
SVM,4,1,sigmoid,True,False,100,0.8625,0.9452054794520548,0.7931034482758621,0.7777777777777778,0,0.3409909744613114,0,0.3059273422562141,8.0,18.0,4.0,69.0,0
SVM,1,1,linear,True,False,100,0.8903225806451613,0.9324324324324323,0.8518518518518519,0.83,0,0.526509672377604,0,0.5159453302961275,14.0,12.0,5.0,69.0,0
SVM,2,1,linear,True,False,100,0.8407643312101911,0.9041095890410958,0.7857142857142857,0.7474747474747475,0,0.2599517087125262,0,0.2451967063129003,8.0,18.0,7.0,66.0,0
SVM,3,1,linear,True,False,100,0.8407643312101911,0.9041095890410958,0.7857142857142857,0.7474747474747475,0,0.2599517087125262,0,0.2451967063129003,8.0,18.0,7.0,66.0,0
SVM,4,1,linear,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
SVM,1,1,rbf,True,False,100,0.8819875776397516,0.9594594594594594,0.8160919540229885,0.81,0,0.448770347435077,0,0.4106699751861042,10.0,16.0,3.0,71.0,0
SVM,2,1,rbf,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
SVM,3,1,rbf,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
SVM,4,1,rbf,True,False,100,0.8518518518518519,0.9452054794520548,0.7752808988764045,0.7575757575757576,0,0.2569823873952432,0,0.2194480946123521,6.0,20.0,4.0,69.0,0
SVM,1,1,poly,True,False,100,0.8930817610062893,0.9594594594594594,0.8352941176470589,0.83,0,0.5171629363668866,0,0.4879518072289157,12.0,14.0,3.0,71.0,0
SVM,2,1,poly,True,False,100,0.8375,0.9178082191780822,0.7701149425287356,0.7373737373737373,0,0.2003321974960204,0,0.1797323135755257,6.0,20.0,6.0,67.0,0
SVM,3,1,poly,True,False,100,0.8553459119496856,0.9315068493150684,0.7906976744186046,0.7676767676767676,0,0.3116641483978471,0,0.2850863422291994,8.0,18.0,5.0,68.0,0
SVM,4,1,poly,True,False,100,0.8641975308641975,0.958904109589041,0.7865168539325843,0.7777777777777778,0,0.3331538135992224,0,0.2844940867279895,7.0,19.0,3.0,70.0,0
SVM,1,1,sigmoid,True,False,100,0.8846153846153846,0.9324324324324323,0.8414634146341463,0.82,0,0.4937164683024299,0,0.4803695150115473,13.0,13.0,5.0,69.0,0
SVM,2,1,sigmoid,True,False,100,0.8375,0.9178082191780822,0.7701149425287356,0.7373737373737373,0,0.2003321974960204,0,0.1797323135755257,6.0,20.0,6.0,67.0,0
SVM,3,1,sigmoid,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
SVM,4,1,sigmoid,True,False,100,0.8553459119496856,0.9315068493150684,0.7906976744186046,0.7676767676767676,0,0.3116641483978471,0,0.2850863422291994,8.0,18.0,5.0,68.0,0
